"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","TOT TKL","TFL","MT","INT","CTGT"
"","156327","","387026","","Antonio Watts","LOUISVILLE","09","S","479","8","31","3","13","3","34"
"","156333","","406498","","Nick Kelly","MIAMI FL","36","S","3","1","0","0","0","0","0"
"","156378","","450261","","Robbie Engelberg","VIRGINIA","39","S","32","2","3","0","0","0","0"
"","156406","","391878","","Phillip Dunnam","UCF","02","S","503","8","48","3","8","0","18"
"","156415","","386322","","Louis Moore","INDIANA","07","S","431","9","56","2","8","5","25"
"","156431","","386317","","Xavier Nwankpa","IOWA","01","S","425","8","48","0","6","1","14"
"","156432","","406799","","Kael Kolarik","IOWA","26","S","50","4","2","0","0","0","2"
"","156437","","399546","","Koen Entringer","IOWA","04","S","432","8","47","3","8","0","14"
"","156453","","386448","","Gavin Gibson","N CAROLINA","05","S","420","8","34","2","6","1","24"
"","156459","","393089","","Jaeden Gould","UCF","11","S","50","6","5","0","0","0","1"
"","156462","","385719","","Malcolm Hartzog Jr.","NEBRASKA","07","S","74","2","1","0","0","1","6"
"","156472","","407287","","Jalil Martin","SYRACUSE","17","S","49","4","4","0","0","0","5"
"","156476","","385718","","DeShon Singleton","NEBRASKA","08","S","477","9","48","1","5","2","25"
"","156511","","391608","","Timmy Ward","RUTGERS","38","S","33","7","3","0","1","0","0"
"","156702","","386435","","JJ Johnson","NC STATE","16","S","256","6","18","0","7","0","10"
"","156841","","386593","","Micheal Caraway Jr.","FLORIDA","16","S","68","6","6","0","1","0","4"
"","157051","","395008","","Caleb Wooden","ARKANSAS","22","S","483","9","47","3","9","0","11"
"","157078","","391297","","JaCorey Thomas","GEORGIA","20","S","266","8","26","0","2","0","7"
"","157114","","391736","","Jordan Allen","HOUSTON","06","S","454","9","36","0","3","0","18"
"","157236","","396169","","Christian Ellis","VA TECH","08","S","94","4","8","1","2","0","5"
"","157277","","398469","","Scotty Edwards","STANFORD","21","S","332","8","36","0","10","0","19"
"","157356","","386085","","Hershey McLaurin","PURDUE","25","S","166","3","22","0","5","0","3"
"","157507","","393451","","Aidan Gousby","MINNESOTA","07","S","247","7","14","0","6","0","10"
"","157509","","386148","","Coleman Bryson","N CAROLINA","16","S","159","8","9","0","5","0","12"
"","157593","","387557","","Blake Thompson","HOUSTON","00","S","174","8","9","0","3","1","8"
"","157713","","439374","","Braden Keith","COLORADO","30","S","5","1","1","0","0","0","0"
"","157742","","387001","","Miguel Mitchell","ARKANSAS","16","S","336","9","39","0","8","1","11"
"","157744","","453259","","Cruz Rushing","OREGON","34","S","3","1","0","0","0","0","0"
"","157779","","407396","","Jet Dineen","KANSAS ST","14","S","9","4","0","0","0","0","1"
"","157780","","388805","","VJ Payne","KANSAS ST","07","S","521","9","51","1","5","0","28"
