"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","REC","EXPL","YAC","CTC"
"","129648","","350372","","Doug Emilien","KANSAS","05","WR","92","9","3","0","29","0"
"","131244","","372754","","Jaedon Wilson","UCLA","11","WR","30","4","2","0","1","0"
"","131255","","406888","","Johntay Cook","SYRACUSE","02","WR","400","9","40","11","187","4"
"","131713","","351123","","Kris Hutson","ARIZONA","04","WR","291","7","29","9","79","6"
"","131758","","351130","","Bryce Farrell","STANFORD","11","WR","399","9","26","7","127","5"
"","131801","","351058","","Logan Loya","MINNESOTA","17","WR","113","7","9","0","38","1"
"","131819","","351493","","Gary Bryant Jr.","OREGON","02","WR","307","8","25","6","190","1"
"","131910","","351656","","Sawyer Racanelli","WAKE","09","WR","113","7","6","4","58","2"
"","134273","","425442","","Cole Adams","ALABAMA","07","WR","24","3","3","2","36","0"
"","134761","","351513","","Izaiah Hartrup","OLE MISS","15","WR","15","3","2","0","10","0"
"","142206","","353454","","Roy Alexander","TEXAS TECH","18","WR","27","3","3","1","16","0"
"","142775","","354646","","Justin Smith-Brown","W VIRGINIA","11","WR","210","9","7","2","92","1"
"","143817","","362209","","Lewis Bond","BOSTON COL","11","WR","559","9","64","13","307","3"
"","143833","","394980","","Luke McLaughlin","BOSTON COL","83","WR","27","6","5","2","31","0"
"","143854","","365944","","Sahmir Hagans","DUKE","02","WR","377","8","29","9","120","3"
"","143886","","363000","","Malik McClain","ARIZONA ST","12","WR","619","9","16","8","93","3"
"","143929","","368543","","Malik Rutherford","GA TECH","08","WR","193","8","24","5","154","1"
"","143936","","367643","","Romello Brinson","SMU","03","WR","522","9","41","12","287","3"
"","143958","","360179","","Gavin Blackwell","FLORIDA ST","06","WR","16","3","0","0","0","0"
"","143974","","361326","","Kobe Paysour","N CAROLINA","08","WR","308","8","15","7","94","1"
"","144048","","371974","","Umari Hatcher","SYRACUSE","05","WR","4","1","0","0","0","0"
"","144089","","362366","","Da'Wain Lofton","OKLA STATE","05","WR","14","1","1","0","1","0"
"","144111","","361560","","Dacari Collins","LOUISVILLE","03","WR","153","8","10","3","18","3"
"","144139","","367023","","Troy Stellato","KENTUCKY","00","WR","35","4","1","0","0","0"
"","144188","","366067","","Horatio Fields","AUBURN","05","WR","153","4","12","0","25","2"
"","144234","","369146","","Will Pauling","NOTRE DAME","02","WR","253","8","20","10","94","5"
"","144255","","361053","","Raylen Sharpe","ARKANSAS","06","WR","339","9","33","12","181","6"
"","144279","","367810","","Eric Rivers","GA TECH","03","WR","402","9","32","9","216","1"
"","144361","","363173","","Dylan Goffney","SMU","18","WR","14","2","1","1","10","0"
"","144451","","391862","","Marquis Shoulders","HOUSTON","14","WR","7","3","0","0","0","0"
