"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","ATT","YCO","RB YCO/ATT","10+ RUSH","MTF RUN"
"","183374","","439364","","Jaden Hart","SYRACUSE","22","HB","38","4","10","22","2.2","0","0"
"","183381","","429278","","Yasin Willis","SYRACUSE","06","HB","299","8","119","358","3.0","11","17"
"","183515","","428264","","Ca'Lil Valentine","ILLINOIS","05","HB","158","9","84","215","2.6","12","10"
"","183534","","428816","","DeJuan Williams","MARYLAND","00","HB","302","8","90","223","2.5","8","12"
"","183545","","431672","","Brandon Tullis","MICH STATE","07","HB","209","9","50","158","3.2","7","5"
"","183555","","453524","","Izaac Dickey","NEBRASKA","45","HB","2","2","1","2","2.0","0","0"
"","183594","","429523","","Kenneth Williams","NEBRASKA","32","HB","9","3","5","19","3.8","1","0"
"","183621","","431734","","Bryan Jackson","USC","21","HB","61","4","22","81","3.7","2","1"
"","183644","","429718","","Adam Mohammed","WASHINGTON","24","HB","136","8","41","131","3.2","3","11"
"","183656","","431481","","Darrion Dupree","WISCONSIN","06","HB","130","6","44","131","3.0","3","10"
"","183661","","441715","","Gideon Ituka","WISCONSIN","10","HB","66","4","33","90","2.7","3","5"
"","183664","","431482","","Dilin Jones","WISCONSIN","07","HB","180","7","78","228","2.9","6","12"
"","183706","","428684","","James Peoples","OHIO STATE","20","HB","132","8","45","139","3.1","7","10"
"","183713","","428712","","Sam Dixon","OHIO STATE","24","HB","3","1","3","8","2.7","0","0"
"","183723","","429039","","Jaheim Merriweather","PURDUE","23","HB","12","3","2","5","2.5","0","0"
"","183736","","449392","","Anthony Wilhite","ARIZONA","28","HB","10","2","5","12","2.4","0","0"
"","183763","","450485","","Jovesa Damuni","BYU","28","HB","28","4","13","54","4.2","3","0"
"","183773","","429935","","Sione Moa","BYU","30","HB","65","3","18","56","3.1","2","3"
"","183815","","428853","","Harry Stewart III","KANSAS","00","HB","71","8","22","63","2.9","2","3"
"","183835","","432079","","Nate Palmer","TCU","21","HB","39","4","18","73","4.1","4","3"
"","183837","","428461","","Jeremy Payne","TCU","26","HB","141","6","37","107","2.9","4","6"
"","183873","","436407","","Clay Ash","W VIRGINIA","27","HB","156","8","43","107","2.5","3","2"
"","183887","","428393","","Micah Welch","COLORADO","29","HB","234","9","80","207","2.6","6","12"
"","183902","","439342","","DeVon Rice","KANSAS ST","23","HB","73","9","26","55","2.1","3","4"
"","184108","","431679","","Aneyas Williams","NOTRE DAME","22","HB","18","3","7","29","4.1","1","0"
"","184224","","429391","","Wayshawn Parker","UTAH","01","HB","253","9","87","286","3.3","16","32"
"","184393","","428891","","Braylen Russell","ARKANSAS","00","HB","174","9","56","180","3.2","6","11"
"","184417","","428285","","Jadan Baugh","FLORIDA","13","HB","383","8","135","466","3.5","22","45"
"","184419","","428299","","KD Daniels","FLORIDA","21","HB","43","4","17","39","2.3","1","0"
"","184449","","432005","","Caden Durham","LSU","29","HB","215","7","81","309","3.8","8","12"
"","184458","","428562","","Ju'Juan Johnson","LSU","08","HB","188","8","31","111","3.6","3","5"
"","184505","","453696","","Christian Clark","TEXAS","06","HB","104","6","33","59","1.8","3","7"
"","184509","","428962","","Jerrick Gibson","TEXAS","09","HB","74","4","39","90","2.3","5","8"
"","184536","","429327","","Daniel Hill","ALABAMA","04","HB","118","7","22","70","3.2","3","3"
"","184550","","428394","","Chauncey Bowens","GEORGIA","33","HB","194","8","79","223","2.8","14","12"
"","184603","","443091","","Xavier Robinson","OKLAHOMA","24","HB","201","7","51","214","4.2","5","5"
"","184636","","429569","","Jason Patterson","KENTUCKY","26","HB","101","7","37","98","2.6","5","6"
"","184656","","456061","","Edd Guerrier","RUTGERS","23","HB","15","1","7","17","2.4","0","2"
"","184725","","445017","","Fame Ijeboi","MINNESOTA","07","HB","184","8","83","307","3.7","13","24"
"","184755","","429276","","Johnnie Daniels","MISS STATE","20","HB","26","2","9","43","4.8","2","6"
"","184832","","429409","","Dylan Lee","IOWA STATE","02","HB","57","5","21","87","4.1","2","5"
"","184833","","429416","","Easton Miller","IOWA STATE","25","HB","7","1","4","12","3.0","0","0"
"","184848","","395779","","Jay Harris","OREGON","22","HB","53","7","22","63","2.9","2","3"
"","184885","","429223","","Peyton Lewis","TENNESSEE","02","HB","148","9","61","152","2.5","3","5"
"","184897","","429869","","Cameron Dickey","TEXAS TECH","08","HB","367","9","138","478","3.5","20","31"
"","184937","","447834","","Tyler Mason","VA TECH","23","HB","17","3","4","27","6.8","1","4"
"","187638","","466538","","Tyler Wrenn","UCF","32","HB","3","1","1","3","3.0","0","0"
"","188180","","453786","","Jayden Parker","CAL","24","HB","1","1","1","0","0","0","0"
"","188188","","455878","","Jakorion Caffey","CINCINNATI","20","HB","1","1","1","2","2.0","0","0"
"","188257","","428796","","Josiah McLaurin","MARYLAND","17","HB","23","2","0","0","0","0","0"
"","188518","","449772","","Jamezell Lassiter","VANDERBILT","41","HB","35","8","8","80","10.0","3","3"
"","188671","","431556","","Khobie Martin","INDIANA","28","HB","88","8","51","203","4.0","12","9"
"","188691","","448808","","JB Price","KANSAS ST","24","HB","27","3","9","18","2.0","1","1"
"","188722","","444020","","Rodney Fields Jr.","OKLA STATE","20","HB","286","7","91","316","3.5","12","9"
"","188781","","464266","","Gabe Sawchuk","OKLAHOMA","29","HB","3","2","2","15","7.5","1","1"
"","188782","","428442","","Taylor Tatum","OKLAHOMA","08","HB","2","1","1","1","1.0","0","0"
"","188865","","428293","","Micah Ford","STANFORD","20","HB","197","7","101","398","3.9","11","27"
"","188876","","445999","","Cole Tabb","STANFORD","33","HB","190","8","101","286","2.8","11","17"
"","189380","","461010","","Cole Denson","DUKE","28","HB","4","1","0","0","0","0","0"
"","189441","","428441","","Jordan Lyle","MIAMI FL","02","HB","65","5","28","66","2.4","2","3"
"","189622","","428872","","Kayden Luke","ARIZONA","30","FB","27","7","0","0","0","0","0"
"","189679","","447453","","Brevin Doll","IOWA","23","HB","2","1","2","3","1.5","0","0"
"","189698","","449537","","Xavier Williams","IOWA","26","HB","101","6","37","116","3.1","5","5"
"","189704","","429503","","Mekhi Nelson","NEBRASKA","35","HB","46","7","11","26","2.4","2","3"
"","189712","","449866","","Joe Pitchford","TCU","24","FB","9","4","0","0","0","0","0"
"","189732","","446309","","Jordan Washington","WASHINGTON","04","HB","28","5","14","33","2.4","3","2"
"","189933","","441636","","Diore Hubbard","W VIRGINIA","20","HB","242","6","78","228","2.9","5","13"
"","190013","","428616","","Ahmad Hardy","MISSOURI","29","HB","297","8","161","722","4.5","25","61"
