"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","TOT TKL","TFL","MT","CTGT"
"","157075","","396975","","Terrell Foster","GEORGIA","30","LB","64","7","6","0","0","3"
"","157120","","388800","","Harold Perkins Jr.","LSU","07","LB","584","10","46","4","13","30"
"","157136","","391779","","Reginald Hughes","COLORADO","50","LB","431","10","45","1","0","20"
"","157169","","430093","","Carmycah Glass","HOUSTON","25","LB","270","10","23","0","2","10"
"","157253","","386763","","Devon Jackson","OREGON","26","LB","241","8","23","0","4","10"
"","157254","","393365","","Harrison Taggart","CAL","07","LB","179","9","28","1","4","5"
"","157275","","406590","","Matt Rose","STANFORD","35","LB","506","10","97","5","12","24"
"","157288","","385959","","Namdi Obiazor","TCU","04","LB","563","10","66","1","4","24"
"","157329","","397758","","Wesley Smith","TEXAS TECH","40","LB","25","3","5","0","0","2"
"","157332","","395549","","Ben Roberts","TEXAS TECH","13","LB","618","11","71","3","5","32"
"","157359","","393340","","Trey Lathan","KANSAS","04","LB","584","10","74","4","10","32"
"","157430","","400112","","Aisea Moa","MICH STATE","08","LB","178","9","13","1","1","6"
"","157436","","407328","","Isaiah Glasker","BYU","16","LB","562","10","53","6","13","23"
"","157449","","412674","","Zakye Barker","SMU","33","LB","165","8","22","0","3","7"
"","157484","","396694","","Maverick Baranowski","MINNESOTA","06","LB","486","10","72","5","7","20"
"","157506","","406345","","Joey Gerlach","MINNESOTA","19","LB","63","9","6","0","1","2"
"","157561","","393416","","Caleb Bacon","IOWA STATE","26","LB","548","10","53","5","14","22"
"","157562","","387519","","Will McLaughlin","IOWA STATE","23","LB","143","8","13","0","4","2"
"","157592","","396656","","Carson Willich","IOWA STATE","14","LB","196","6","21","1","8","10"
"","157597","","407650","","John Klosterman","IOWA STATE","22","LB","62","5","3","0","1","4"
"","157614","","386073","","Elijah Herring","FLORIDA ST","31","LB","327","10","42","2","5","16"
"","157627","","385514","","Max Alford","BYU","30","LB","142","9","20","0","7","2"
"","157870","","394661","","Khalil Jacobs","MISSOURI","05","LB","286","10","38","1","3","14"
"","158071","","397109","","Kip Lewis","OKLAHOMA","10","LB","410","10","56","3","7","19"
"","158089","","396666","","Kobie McKinzie","OKLAHOMA","11","LB","263","9","30","4","13","7"
"","158098","","401497","","Owen Heinecke","OKLAHOMA","38","LB","347","10","49","7","10","22"
"","158208","","400310","","Malachi Hood","ILLINOIS","45","LB","297","10","34","1","4","19"
"","158211","","385638","","James Kreutz","ILLINOIS","41","LB","169","9","23","2","3","12"
"","158302","","407230","","Josh Kubala","SYRACUSE","49","LB","1","1","0","0","0","0"
"","158432","","395900","","TJ Bullard","UCF","16","LB","22","3","2","0","2","1"
"","158450","","395902","","Kam Moore","UCF","30","LB","10","1","0","0","0","0"
"","158461","","396639","","Garrison Madden","USC","29","LB","6","1","1","0","0","2"
"","158462","","406022","","Roman Marchetti","USC","57","LB","5","1","1","0","0","0"
"","158473","","387020","","Lander Barton","UTAH","08","LB","455","10","42","1","10","8"
"","158497","","393591","","Justin Medlock","SMU","20","LB","203","6","19","0","1","13"
"","158556","","386797","","Jeremy Evans","BAYLOR","42","LB","45","8","6","0","1","2"
"","158718","","439395","","Brandon Craddock","ARIZONA","40","LB","3","1","0","0","1","0"
"","158733","","386376","","Jacob Manu","WASHINGTON","09","LB","144","3","18","1","1","12"
"","159431","","397870","","Jahsiah Galvan","STANFORD","00","LB","252","6","43","2","3","14"
"","160467","","391897","","Cole Kozlowski","UCF","43","LB","439","10","70","4","11","13"
"","160580","","395068","","Ben Bogle","W VIRGINIA","32","LB","220","11","31","3","1","6"
"","162449","","391336","","Melvin Jordan IV","GA TECH","00","LB","148","8","20","0","4","4"
"","162470","","391486","","Jalen Woods","UCLA","09","LB","345","10","41","1","3","19"
"","162494","","400043","","Griffin Miller","WASHINGTON","49","LB","2","1","1","0","0","0"
"","162660","","391872","","Daveon Crouch","BOSTON COL","01","LB","194","4","17","1","6","3"
"","162669","","422356","","Tim Hays","BOSTON COL","34","LB","3","1","0","0","0","0"
"","162682","","393311","","Fletcher Cothran","CLEMSON","50","LB","5","2","1","0","1","1"
"","162770","","397808","","Kyle Louis","PITTSBURGH","09","LB","529","9","62","6","9","40"
"","162825","","386506","","Jimmy Rolder","MICHIGAN","30","LB","386","9","61","3","3","27"
"","162836","","398832","","Braydon Brus","NWESTERN","33","LB","583","10","63","1","14","43"
"","162852","","393366","","Kenny Soares Jr.","NC STATE","33","LB","471","10","51","3","7","29"
"","162876","","391426","","Sonny Styles","OHIO STATE","00","LB","453","10","61","5","0","27"
"","162903","","386416","","Dariel Djabome","RUTGERS","08","LB","539","10","54","3","8","22"
"","162922","","419430","","Zilan Williams","RUTGERS","15","LB","7","2","1","0","0","0"
"","163114","","389055","","Joseph Sipp Jr.","KANSAS","03","LB","18","3","2","0","0","1"
"","163288","","386748","","Bryce Boettcher","OREGON","28","LB","465","10","80","2","7","25"
"","163648","","385895","","Tyler Banks","OLE MISS","38","LB","61","3","9","1","1","0"
"","163670","","391782","","Trip White","OKLA STATE","30","LB","235","10","27","1","8","7"
